Topic,Count,Name,Representation,Representative_Docs
29,80,29_encrypt_encryption_bitlocker_truecrypt,"['encrypt', 'encryption', 'bitlocker', 'truecrypt', 'password', 'tpm', 'decrypt', 'drive', 'key', 'partition']","['window vista run truecrypt version system encryption preboot authentication c d encrypt \n exmaple usb partition mount mntlarge encrypted c partition second partition drive devsda like \n note require partition mount mntlarge bit big size sda filesystem mntlarge probably linux ext ext filesystem c system partition large gb \n theoretically convert truecrypt system partition standard truecrypt parition file container chage byte encrypt header decrypt header change encrypt httpwwwtruecryptorgdocssvolumeformatspecification byte   \n image file create direct truecrypt mount image file mntlargesdaimage unfortunately imagefile directly accessible boot window \n try clone c partition unlocked usb disk reencrypte truecrypt window \n want access partition backup clone partition size primary partition different hdd mark bootable restore header check track \n sdb unencrypted clone sda truecrypt window follow procedure encrypt sda \n knoppix boot machine linux dd command copy bytebybyte encrypted c drive usb drive partition block size \n important truecrypt system encryption partition not contain truecrypt header nonsystem truecrypt encrypted partition file container contain header   block backup copy   block filepartition impossible decrypt systen encryption partition backup header header system partition block hdd track backup header \n enter password volume mount mount filesystem require cloning clone usb disk assume usb disk sdb \n boot windows vista truecrypt gui select usb drive partition volume mount deviceharddiskpartition try combination option include mount readonly use backup header mount partition system encryption preboot authentication expect option work enter password time message incorrect password truecrypt volume \n not encrypt c system partition believe copy encrypt partition file extext filesystem usb drive \n partition strat block   ok low block number not continue \n test verify mount encrypt partition linux mount readonly ntfs work able mount image partition file \n access back system partition mount partition system encryption preboot authentication', 'bitlocker provide disk encryption multiple way secure encryption key way tpm chip commonly motherboard computer use lpc bus attach chip motherboard tpm store encryption key \n point system run window somewhat oblivious encryption configure os access control prevent look file file protect bitlocker prevent take drive have useful protect drive os configure \n say bitlocker not like good choice go physical access machine run datum decrypt personally deploy server environment encrypt key not \n think want issue standard nda client policylicense problem technical \n not allow log machine turn use wgetcurl web content server parse machine protect \n initialize bitlocker prompt save print recovery key case tpm provide key commonly mess bio setting window startup setting bio upgrade \n recovery key move hard drive machine mess way computer boot render drive unreadable protect recovery key ask lock system point', 'determined use ef lot option present   option create virtual hard disk hard drive mount window turn bitlocker vhd \n ntfs encryption work apply apply aes encryption file whilst live disk key derive login credential double click file window automatically decrypt file application datum automatically reencrypte file application save \n want file cusersmemydocument encrypt login   good bet ntfs encryption \n build feature call encrypt file system use encrypt content file folder encryption lock window user account decrypt window credential feature available xp \n ef unreliable   big problem efs people forget like reinstall os drive computer   want try recover file not bother save copy key good thing not recover file key \n find horror story web   ton window     people problem usually fault \n order use ntfs encryption right click file folder view property screen come press advanced check box say encrypt content secure datum wait action complete \n generally speak tool tend encrypt partition ie continuous section disk space comprising multiple file folder meta datum file \n want encrypt partition good choice bitlocker truecrypt mention question \n user administrator attempt open file prompt username password unable provide login credential unable reconstruct aes bit key unable view file similarly obtain forensic image drive unable reconstruct file have access login credential \n bitlocker kind nickname bitlocker drive encryption work partition \n long key safe secure perfectly reliable look \n want encrypt partition recommend ef not know happen guy file not think ms usually good backwards compatibility not version change ef break ability read file']"
30,79,30_printer_print_driver_cartridge,"['printer', 'print', 'driver', 'cartridge', 'ink', 'printing', 'cup', 'postscript', 'hp', 'page']","['printer manage counter print page handle inaccurate ink indicator possible printer reset counter download special firmware recipe internet easily accessible facebook \n ve print   black draft text document year printer report cartridge level go   strange think \n discover level actually estimate printer not report true ink level \n printer press setting button right hand help button   select tool   select print printer diagnostic page \n google discover actually common problem brand printer   industry decide protect investment ink cartridge expire refill work \n happen select clean print head   need   find able print normally printer say ink   fix \n way long term solution problem switch monochrome laser printer work administrative print job photo lab family picture \n dell printer possibly lexmark matter hit ok button printer say say ok say void warranty ok ask want print cart \n happen estimate reach zero   discover answer wrong time   stop print shove totally blank page \n solution problem   not care refill cartridge personally want use ink pay lot money   hp cs printer', 'old lexmark printer certainly support postscript osxs native postscript driver work try instal printer generic postscript printer \n m wonder s easily moment thing monitor directory pdfs print s easy way send setting eg number copy printer m happy pay commercial solution especially make easy set \n ve get moment printer plug windows   computer ability print thing m look solution allow mac print program windows   computer bunch setting program reprint intend printer copy setting like print pdf want like printer network copying pdf network not practical situation \n m bit situation old printer s good high end originally stockpile toner obviously d like situation m people network mac late version os x printer driver not work new version os x window driver work window \n setup kind script send file computer receive print easy network atleast network setup window share common public directory \n print know ps printer need install proper driver osx printer ppd file text file list printer feature tray paper size colour etc ps command access text file use window linux version mac default location ppds libraryprintersppdscontentsresourcesenlproj instal printer browse location necessary', 'web interface connect configuration usually find manual \n nondepartment folk want use manager machine act print server handling right time restriction etc limit access keep machine active keep machine offit restriction printer allow happy   responsibility machine not follow standard \n sure network printer network address scheme rest network ip address give not conflict device ie   \n client print time ll precisely time control printer get job print window communicate printer regular interval obtain status datum printer status ready print job \n engineering maintenance directconnecte printer use printing scan   connect department wireless network printer mention multiple computer connect direct connect rare occasion multiple print job start simultaneously printer queue job nicely \n long printer address network client computer correct driver software instal yes independently print directly device time install printer software software identify printer automatically network click \n yes computer connect network long network printer plug router switch hub etc computer connect   need dedicated host computer  \n not need worry queue take care ve spend number year set small business network printer scanner']"
31,77,31_motherboard_power_psu_supply,"['motherboard', 'power', 'psu', 'supply', 'bio', 'ram', 'fan', 'beep', 'card', 'board']","['recently help friend test new mobo cpu ram psu simply unhook cable reach hardware power go reattach cable hardware realize leave pin auxiliary gpu power connector attach graphic card try power system fan briefly spin immediately power remove gpu way pc boot thankfully integrate graphic whim let card sit time try able boot \n case charge leave capacitor spin fan begin spin hard drive effect usually notice monitor flicker keyboard led turn speaker receive static suppose induce current instead signal come sound card \n suppose leave computer time problem clear lead light press power button instantly discharge power store psu rid static charge \n spot capacitor   test unplug machine let sit awhile eventually capacitor discharge effect equivalent press power button unplug \n not know will not turn hopefully provide particular answer   good guess failsafe motherboard protect \n motherboard psu detect error state power protect hardware safe thing shut \n computer suppose eliminate residual static charge abnormal condition not happen motherboard protect turn account symptom describe   fan spin post mean power come motherboard function \n reference computer see issue custom build   probably feature flaw motherboard   tend asus brand motherboard build \n theory capacitor auxiliary primary mother board pcie slot supply power rail gpu likely mosfet int power regulation circuitry gpu hardware wonder anomalous charge condition power int aux pcie power supply cause manner non standard voltage potential apply regulation circuit gate mosfet hit charge normally start non charge state inhibit flow source drain mosfet normally regulation occur pulse gate enable inhibit flow electron carefully adjust flow stray charge hold anomalous charge state circuit prevent flow', 'record overclocke graphic card cpu ve sure driver include bio firmware date s power supply voltage switch change \n m hope motherboard warranty store not wait   week new manufacturer idea dig find root problem \n look get power supply tester m wonder worth spend   buy new power supply m think power supply   year old work fine old motherboard w advertise w s heavy load need setup cpu overheat good way find old motherboard beep overheat guess motherboard not \n ve contact motherboard manufacturer msi say try reinstall window reset bio test power supply pc replace power supply reinstall window reset bio default setting move plug power supply surge protector not fix think cpu overheat replace heatsink not fix \n upgrade computer month ago computer randomly shutdown restart   second clarify usually shut come sleep mode download update boot window upgrade motherboard cpu not replace power supply ram read online check fuse motherboard s corrosion not', 'note computer boot say hardware change reactivate window say microsoft fancy automate voice ask enter code window ask computer activate copy window computer replace say   yell violate use license dunno s go repurchase window   wonder people pirate software s bonus question \n clear cmos setting s happen setting s prevent system post motherboard detect fail post try post default setting work \n clear cmos not window require activation   change sound card not   change sound card video card time   change motherboard trigger different hardware dealio necessarily ve manage right mobo swap   message replace motherboard s likely get \n custom build pc exhibit someodd behavior ve see work fine day day not start see want upgrade purchase new motherboard compatible part replace motherboard accidentally damage cpu want new get new seeing replace ton part buy new psu old super loud slap start light fan drive start display monitor beeps believe mean not post figure ram remove sound card graphic card not replace remove stick ram continuous beeping accord mobo handbook mean ram think mobo functional atleast partly buy new ram not work try   monitor vga div probably monitor \n exactly   ask possible damage motherboard   damage capacitor   behavior describe sound like power issue necessarily psu issue indicate potential capacitor issue   ve know motherboard operate blow capacitor reliably   m say blow damage explain thing \n let random   boot mention     boot unplug pc will not powerdown button post ill display     reset will not work confuse change willwill work thought maybe ram clear reset cmos battery incase eval find weird suggestion online hold power button   second unplugged not expect \n ve replace entire computer part compatible think work hopefully help \n need reload opp change motherboard reload operating system new motherboard work fine \n likely customize setting old ram forget remove switch new ram']"
32,77,32_entity_component_state_game,"['entity', 'component', 'state', 'game', 'object', 'input', 'event', 'class', 'player', 'logic']","['hope help disclaimer advice grain salt expert \n ok start grasp ecs paradigm right need clarification thing record try develop game c opengl m relatively new game programming let entity class component meshrenderercollider etc read understand system carry specific task calculate physics rendering use component need example meshrenderersystem act entity meshrenderer component look unity gameobject default get component renderer camera collider rigidbody etc understand entity start container fill component create certain type game object not understand system work entity component system  \n main goal ecs class decouple possible mainly component system sense not component subscribe system need suddendly find component hook system remove system alter respective component \n example position component think way different system position constructor subscribe different system movementsystem collisionsystem etc suddendly decouple anymore intrinsecaly bind component create want \n meshrenderer constructor meshrenderersystem subscribe warship object system case meshrenderersystem probably singletonshudder   look unitys gameobject object potentially renderer component default gameobject class unity iterate object available kind unnecessary object need render example practice system implement   \n ecs implementation factory class capable create component register component respective system mean coupling happen easily configurable allow multiple way instantiate component directly change component use factory find step create file read entity associated component push game datadriven design \n gameobject model warship want add meshrenderer component following', 'unfortunately post exact code question make bit guesswork fill blank guess current code directly tie specific entity suppose controllable human player \n later d pass message interpretation message entity relevant handle instruction mean long message not change not affect rest system form input long send message \n entity component system advantage single responsibility principle good decouple different class lot right state make use input singleton directly tie reduce reusability greatly \n have class handling input way d initially design structure particularly compelling reason way d key press push event stack pop instance w key press d push forwards event relevant message stack check update function input class \n nice thing input component easily detach entity attach entity \n not think entity component system approach mix state design pattern state component inside ecs system possible state \n having see give pattern usually mean not use exactly right search string ve modify pattern exist look different not worry find solution not see', 'create script game object call commhub hook component event component function work love love having completely decouple component   central place communication setup give high level functional view say game object game object lot component \n question entity entity interaction keep idea   decouple component \n component   isolate component know outside way component function operate internal state event inform s happen internal state \n zombie determine target entity d unknowingly hostile entity enter aggressive radius zombie   ai check detemine entity enter space raise event set target strugglecomponent   cause zombie target start attack \n internally target entity likely distribute event component allow component handle event need   notable health relate component reduce hp \n way player entity notify attack use target entity d dispatch event entity directly like follow \n case zombie target entity d entity reference entity manager send direct event attack   damage \n system communication entity m interested talk system keep component aware component directly ie component knowledge component not think good way like interentity component \n player game object zombie game object component high level idea zombie look radius entity player ll walk certain range ll start struggle player interaction   entity zombie controller component check range player target find search component need communicate player tell start struggle zombie']"
33,76,33_vim_terminal_text_paste,"['vim', 'terminal', 'text', 'paste', 'tmux', 'tab', 'clipboard', 'vimrc', 'buffer', 'command']","['use fact new buffer previous alternate use   instead \n   external command execute shell fleeting output not capture inside vim get print terminal control return vim external command finish \n want pass current buffer filename   external command use execute evaluate current buffer \n output read vim buffer s read command open new scratch buffer combine new \n screen vim edit file screen execute message code permanently \n open file vim split screen jump screen ctrla tab notice second screen open new screen ctrla c use \n want output asynchronously execute need external multiplexer plugin mention chaos answer \n far know vim use terminal multiplexer like screen open vim start multiplexer', 'feel severly restrict cli thing time surely way switch command line console \n vim need access command line moment quit vim cli start vim productive \n not quit vim run shell sh command finish shell enter exit shell prompt return vim give technique choose \n split vim window edit file use tmux need combine vim shell single terminal not good experience conque plugin personally think mention help complete discussion \n gradually getting cli ubuntu switch window edit file go command line run cmd etc \n tell switch cli screensconsole switch cli withinin vim vim have close vim', 'turn swapfile set autoread open file multiple vim instance parallel customize vim plain   different vim open time switch instance alt   tab people \n willing try new pythonenabled vim try instal covim plugin allow collaborative editing vim way coworker edit file time different vim instance \n vim config quit vim start new vim instance coworker repeat reopen vim \n combine session file sync open file use opening closing vim instance not want live safety net swapfile \n ve add lot small mapping vimrc help work like noremap h   inoremap jk esc diverge vanilla vim people work trouble code computer make hard pair program people help review code d like way quickly toggle onoff custom mapping switch vim config conventional like relative vs absolute numbering good way \n think probably good find way easily start leave exit restart vim session session handle plugin persistent undo custom mapping combination']"
34,75,34_index_query_table_row,"['index', 'query', 'table', 'row', 'column', 'join', 'optimizer', 'plan', 'clustered', 'sql']","['bit coincidence artificial nature test datum mention sql   try rewrite \n explicit predicate filter index matching logic decide use filter index number way work second sideeffect easy probably change cross apply outer apply mirror logic rewrite optimizer perform early correlate subquery \n index add matter define operator execution plan follow \n query optimizer expand computed column reference optimization begin chance assess cost query plan query expand definition compute column allow optimizer find efficient plan \n generally prefer add b c include column filter index address root cause problem require widen index unnecessarily \n real question optimizer feel need retrieve b c index seek expect read comp column nonclustered index scan perform seek index alia t locate   record \n note necessary mark computed column persist not mind repeat definition check constraint \n see sql server use source column compute column perform matching nest query clustered index scan value acquire time additional operation need \n yield nice lowcost plan index significantly low read option result test datum \n optimizer need use apply rewrite compute column matching work expect predicate optimize away filtered index datum access operation seek use comp column side \n clustered index scan t predicate determine need row return condition \n compute column require persist case want use null constraint reference comp column directly instead repeat definition check constraint \n suspect real datum complicated scenario query behave semantically different new feature real difference \n index add filtering necessary row table main select perform accord index value source column compute column comp need get operation nest loop \n optimizer decide scan clustered index cheap scan filter nonclustere index perform lookup retrieve value column b c \n optimizer encounter correlate subquery attempt unroll form find easy reason find effective simplification resort rewrite correlate subquery apply correlate join \n happen apply unroll put logical query tree form work project normalization later stage look match general expression compute column thing \n key lookup operation   datum source column compute \n case way query write interact internal detail optimizer expand expression definition match compute column end seek reference column b c instead compute column comp root cause \n unfortunately query use filter index hope inequality test column d inside apply reject null apparently redundant predicate td null optimize away', 'probably use index instead choose scan entire table scan entire table reduce size table   help scan entire table far optimizer concern efficient index access cluster index complete operation choose actually true index help statistic date get wrong examine execution plan determine happen \n  not row big table   depend wide row \n   update query update datum table appear   clustered index index column definition index include column \n   s lot activity table operation lock prevent query process fast activity occur database wait lock second minute hour   depend timely operation', 'good performance usually want index lead column match predicate query   example query like \n note include order clause query mysql able use index return row specify order index avoid filesort operation happen lead column index need match column order clause \n example query index individual column mysql usually use index column mysql   indexmerge operation index rarely perform well access plan make use suitable index \n mysql use index choose index column mysql identify row value   column index work fine row need look page underlying table column check determine row need return \n summary usually addition index individual column regard actual query go run large table well have index performance query improve pay price performance insert update delete operation index need maintain lot extra work cpu memory disk maintain index not useful \n obviously need index primary key need index set column want enforce unique constraint want foreign key column lead column index \n equality predicate c mean want lead column follow b range scan include column d query cover index query satisfied index need access lookup underlie data page   choice lead column c come particular query depend cardinality   possible value half row value condition match half row   row satisfy condition c have c lead column prefer \n optimum performance well approach actually examine query need run create index ideally suit query \n index instead column c mysql check column few row lookup page table \n create separate index individual column usually create index need actually reduce performance run find index actually improve performance absent']"
35,74,35_ssd_ssds_drive_trim,"['ssd', 'ssds', 'drive', 'trim', 'hdd', 'sector', 'sata', 'performance', 'gb', 'write']","['decent backup save day   consider consumer grade   mlc technology depend high cost downtime end world backup event problem \n sure take consumergrade ssd log storage heavily loaded highly transactional database server sure go run write cycle fast s reason huge cost difference consumer drive enterprise drive enterprise ssds pretty peg io limit constantly year run write cycle \n   main type ssds market   mlc slc mlc multilevelcell consumer version expensive slc singlelevelcell version considerably expensive   order magnitude significantly short lifespan \n broad generalization enterprise ssds cost order magnitude consumergrade cousin \n unlucky multiple drive raid short period raid datum likely toast \n final note today raid controller max throughput   iop equate   ssds generally not   ssds raid group   waste performance   controller not datum fast know major vendor soon offer controller well throughput      iop   take   disk ssd raid group increase performance d recommend check vendor spec configure server \n   having say real question plan run ssds enterprise solution use mlc ssds save money microsoft calculation heavyhitte sql environment know diskintensive sql database disk mlc ssd raid   year degraded use anymore mind ssds design extra cell replace fail one   way maximum list capacity critical threshold cell fail time replace ssd slc ssd decade unusable generally critical server expect run long time little maintenance \n pretty agree spot wesleydavid thing aware   mechanical drive slowly die   slow terribly retry bad sector start make funny noise etc ssds sudden total catastrophic failure lead loss datum drive \n ssds suit enterprise environment look ssd signify well workhorse server \n additionally likely purchase configure raid   pair mind budgeting \n standard application server rarely come close disk performance requirement db server ll need clarify workhorse generally speak build server use brand ssds offer hp dell ibm etc performance fantastic ssds reasonably expect lifetime server raid configuration replace fail ahead schedule intel crucial major vendor offer solid ssd option route sure check controller   oldercheaper ssds include old poor perform integrate controller \n slc type generally enterprise orient   handle   time readwrite cycle mlc type ssd cell fail \n know ssds fast not great come computer write disk time give minute', 'lifespan ssd essentially factor number write cycle raid drive array half number write cycle contrast spin drive raid   spinning drive half write drive spend time spin readwrite head mechanical wear \n likely will not able use trim support raid ssds   issue   intel secondgen drive performance decrease trim support absent ocz new firmware enable garbage collection not rely trim support   miss trim \n raid   reliability roughly estimate meantimetofailure   numberdisk mean case half mttf gb ssd good \n furthermore double performance raid   scenario optimal condition happen rarely read write small stripe size evenly distribute block depend machine play stripe size kb kb kb kb kb good raid good mean evenly distribute block little rarely benefit increase performance \n   x gb drive single gb drive bare mind gb drive get   well performance gb \n m look get crucial m ssd question s mind worth raid thing fact raid downside particular ssds not typical magnetic hdd \n normally raid risky   spinning disk essentially cut expect time failure ie lifetime half \n ssds believe disk raid long single ssd equivalent capacity   ex gb ssds raid versus single gb ssd \n ssds controller use free space help maintain performance maximise life drive minimise write amplification ratio small drive start low potential advantage \n definitely single large drive unlikely raid small drive provide useful performance increase trim command help preserve ssds performance time probably will not work \n   drive raid   good pretty option consider aim keep disk space', 'situation     reliability not concern will not lose actual datum device long warranty cover good option actually have ram \n fast ssd disk limit usb bandwidth assume old computer not usb   increase computer speed noticeably \n ssd definitely steroid system machine sentence scrap revive \n term reliability s difficult firstly not actually state resource intensive operation plan operate require swap partition swap partition gb ram run operation consistently cause gb ram rewrite cause pe cycle ssd block usual indicator soon ssd fail hdd mechanical factor account read hdd cause head seek possibly lot drive normal storage device swap memory cause additional wear drive \n let consider speed factor firstly motherboard age ddr ram sata controller ll probably bottleneck maximum throughput lot ssds course main benefit ssd incredibly low latency high iop hdd purely swap drive go important \n course swap definitely replacement real ram not come close match speed ram ddr speed reach ssd heck bank raid stripe ssds look incredibly slow compare ram hdd look incredibly slow compare ssd use swap order lack ram ssd fighting chance make drop speed \n assume guess thought lead raid buy hdd type buy ssds \n hard disk suffer permanent uncorrectable error dirty secret widely mention    ssds susceptable theory happen need bosechaudary error correction   bung spare able buy need  \n secondly ssds lot reliable implementation unfortunately tar unreliable year later easily outlast normal life machine hard exactly long device live manufacturer provide mttf mtbf average misleading vague statistical idea metric somewhat well idea warranty period offer typically long ssds hdd figure cite source   samsung provide   month minimum ssds   month minimum hdd \n forget lifespan buy spare diarise swap   year like car battery \n hdd vs ssd debate let alternative use usb flash drive format swap mount limited lifespan easily cheaply replace case failure especially use relatively low memory flash gb   x ramsize suffice \n hand factory specification state statistical lifetime small hdd today cheap ssds sell   year guarantee doubt foresee kind gadget use   year s pretty fair sure crash time frame know instance backup matter hdd ssd \n ssd internal wear levelling   aware cpu usage increase fire feed fast increase stress io component   particular old udma motherboard market udma fact burst speed expect continuous \n question state speed factor resource case hdd far great gbs money ssd market currently pure resource hdd currently good option depend exactly extra resource feel need m sure mean wrong set speed difference significant']"
36,70,36_backup_offsite_incremental_tape,"['backup', 'offsite', 'incremental', 'tape', 'restore', 'back', 'drive', 'quicken', 'snapshot', 'rsync']","['disk rotation onsite storage make thing simple   separate drive week backup bank deposit \n not size upload cause problem ftp upload expect time download case disaster recovery situation \n use medium rotational pattern swap disk bank month keep track data store disk contain recent backup datum \n end week perform backup hdd fireproof safe locate site \n  pm schedule script window server dump copy database backup file database range size gb gb \n splitting file small file allow backuppc totally skip copy part change backup backup server copy identical file keep backup set backuppc make daily backup look complete hard link represent file change overnight \n site daily change backup take   minute site slow adsl line k upload lot change take   hour totally automatic \n database change daily basis backup mssql database   site overnight adsl backuppc use rsync copy file difference way backup follow \n week month perform backup disk label bank deposit safe offsite location \n upload time significantly reduce incremental sql backup compress initial backup', 'mean bonus potential keep day backup extra space disk space change day flexibly delete backup keep weekly monthly yearly backup desire \n man take long time scan   inode single day find file change \n note exclude apppooldatalastbackuptimestamp command backup \n like backup datum daily remote offsite server think rsync sure go fast way \n copyonwrite file system   practically mean track change snapshot send late snapshot backup server change send complete copy daily backup decide \n example command run incremental backup send backup server \n note exclude p backupappdatalastbackuptimestamp command backup \n example command run incremental backup send backup server \n application generate far k image image keep tree structure   million inode far', 'backup software allow define perform incremental backup parameter space dedicate backup long wan datum depend datum change change   file weekly backup store twice size datum history   week \n define external hdd backup medium recommend esata usb drive backup tb datum usb time consume easy encrypt handy like disk different location desk work subject policy employer friend place safe box bank \n home environment need balance cost hard drive value datum \n buy tb hard drive small depend budget normal backup   drive day week rotate drive drive fail lose zero day work master drive master backup drive fail set day use similar use quantum tclanezb store   tb compress tape run daily cycle night   tape \n install backup solution wikipedia probably incomplete list backup software software keep history datum change ie file create monday change wednesday delete friday recover monday wednesday version assume daily backup backup datum expire repository backup incremental time week month choose backup require   time storage backup medium   pointintime image datum']"
37,69,37_folder_command_directory_path,"['folder', 'command', 'directory', 'path', 'file', 'script', 'search', 'batch', 'window', 'dir']","['order file count particular directory remove d option not want count folder s option process file directory specify path remove want file specify path not want include file sub folder \n note include   count file directory   include hide system file need add force count \n example want find file c drive subfolder use command \n ve see instance people try nifty trick find c careful thing break \n thing little nice drop nul batch set will not display result run batch fileit directly command line furthermore   sign loop double \n create file call filecounttxt current directory number file folder current directory include newly create file change \n need d use dir d consider roll probably c app s familiar vbscript powershell viable \n output file name line count line output file not m miss unicode trip accord test \n generally want use find dir b cut away nonfilename stuff avoid fencepost error way', 'apply folder select folder c directory propertiescustomisewhat type folder want thing select apply template subfolder folder style set document style create new folder c directory ll new folder \n m windows vista work business edition normally open explorer detail view column date modify type size ill open folder contain image column instead date take tag size rating \n window explorer   organize   folder search option alternatively tool   folder option   view tab   folder view click apply folder button \n assume picture use customization folder use folder type picture document video music folder', 'fwiw directory like testpng think s likely create confusion window will not care user \n note correct answer notwithstanding window fact attempt classify folder content change presentation base classification \n unfortunately merely drop mp file folder change template music   file txt doc etc not need rate readmetxt   star run length undefined \n say window not use filename extension identify folder folder call directory actually file fileattribute value identify folder regular file \n classification call folder type window typically call automatic folder type discovery \n add yes directory file disk   useable extension carry extension dir microsoft do base system   define folder attribute key value file table   extension key value \n fileattribute value archive compress encrypt common one use scripting programming language examine attribute here post script guy blog powershell work file attribute \n excel file certain extension attribute define excel file mft information area disk define separately file   directory file list   original post ask vague   like know way read list s directory   directory kb disk list file simply blank file attribute define make easy identify   identify file help recovery situation define naming scheme filename list   pointer information use   way thorough understanding original post want essential answer give \n mean list file directory attribute ie list folder current folder ctemp type dir   option \n folder extension dir rightclick folder property   general say type file folder dir make file extension folder dir entry hkeyclassesroot maybe s ntfs folder special attribute tell device folder dir folder distraction not thing windows xp \n window explorer window vista window   specify search filter kindfolder find subfolder select location']"
38,68,38_raid_drive_disk_array,"['raid', 'drive', 'disk', 'array', 'controller', 'rebuild', 'failure', 'performance', 'parity', 'write']","['want cautious use dd image drive mount image loop device linux \n safe computer   not use raid controller avoid potential read change raid metadata way   plus typically low level raid setup stuff new drive try avoid possible   chance regular scsi controller drive work fine copy datum \n raid raid jbod drive exact copy raid hardware weird drive not readonly jumper ideal experiment   try put drive nonraid controller see happen   bad case partition detect drive raid controller weird not raid sure window detect new drive need format tell \n hardware controller raid controller merely act connection raid software \n typically raid not normal drive bit metadata end drive hardware raid controller use \n not drive raid controller absolute resort   controller accept drive controller configure controller automatically initialize array configuration \n dell x server crash motherboard go bad need file hard drive   scsi hard drive raid   far know drive fine \n hardware raid need plug disk exact model controller run risk damage raid', 'run space drop drive datum store need expand raid   volume \n s difference plugin raid card microcontroller use cpu calculation work offer advantage window raid fact bad introduce additional point failure \n actually well large volume raid   imho   drive   gig plenty need lose drive lose drive depend jbod raid   volume setup look like large volume corrupt datum   good drive datum fragment   drive \n not bother spend fair money servergrade raid controller controller buy white box system garbage shoddy software raid driver raid     trivial require dedicated controller software \n look build white box run hyperv mean critical systemhome lab decide ditch redundancy performance raid problem not experience come buy raid controller \n hyperv m go presume window check dynamic disk feature let stripe raid   mirroring raid   software instal extra \n second kamil say get plugin raid card ensure hardware raid \n worth go raid raid etc   want performance vs cost blance   rpm drive large cache good performance review   onboard drive controller fine', 'server maybe m go trust raid controller sure spare machine good backup \n raid controller identical server fail get machine not hard disk failure entire company \n talk raid s help availability double chance volume fail drive die lose thing raid   play speed access readswrite volume give storage way help business environment raid s mirror raid \n raid great uptime substitute backup colleague comment know oh sht moment delete accidentally raid mean oh sht drive time \n say day pop head bosss office tell way database server hard drive crash night go finish rebuild spare   ve send bad drive warranty   s raid priceless \n think raid desktop bad idea cheap raid controller go machine fail long actual hard drive \n scientific workstation worth system work well datum store locally oppose share file server general populace d worth hassle headache need restore datum keep share \n raid perfect think post guy blog kind sum feel raid worth think raid \n workstation able person use system replacement roll use raid datum store server management datum integrity backup centralize workstation configure periodically upgrade alter finance allow raid layer cost headache manage plus power use heating issue add drive airflow imposition majority case business probably far cost effective money raid card big drive onboard raid go issue tend tie raid format motherboard true raid anywayit find google search fake raid similar motherboard replace go bad able raid volume \n workstation raid probably worth compare have new system datum restore']"
